name,beer,bar
Callie Gonzales,Samuel Adams Irish Red,Boston Beer Company
Henry Bradley,Righteous Red,Commonwealth Brewing #1
Gregory Gardner,Amber Ale,Wachusetts Brewing Company
Addie Green,Ipswich Winter,Buzzards Bay Brewing Inc.
Austin Carr,Ipswich Oatmeal Stout,Buzzards Bay Brewing Inc.
Belle Mitchell,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),New Century Brewing Company
Jean Mendez,Samuel Adams Triplebock 1994,Buzzards Bay Brewing Inc.
Lucas Wise,Samuel Adams Triplebock 1994,Brewery at Martha's Vineyard
Victoria Patterson,Samuel Adams Honey Porter,Boston Beer Works
Hulda Graves,Samuel Adams Noble Pils,Boston Beer Company
Alice Powers,Golden Ale,Cambridge Brewing
Sam Riley,Samuel Adams Noble Pils,Element Brewing Company
Jeremy Sullivan,Samuel Adams Cherry Wheat,John Harvard's Brew House - Harvard Square
Dora McKinney,Samuel Adams Pale Ale,Harpoon Brewery - Boston
Eleanor Crawford,Samuel Adams Imperial White,Buzzards Bay Brewing Inc.
Frank Holloway,Cascade IPA,Brewery at Martha's Vineyard
Joel Perez,Workingman's Wheat,New Century Brewing Company
Blanche Patrick,Harpoon UFO Hefeweizen,Harpoon Brewery - Boston
Marguerite Brady,Samuel Adams Hallertau Imperial Pilsner,Wachusetts Brewing Company
Dale Rodriquez,Ipswich Summer,Mercury Brewing Company
Juan Watkins,Patriots Pilsner,Harpoon Brewery - Boston
Alex Hardy,Half in the Bagpipe,Watch City Brewing
Ernest Goodman,1084 Barleywine,Cape Ann Brewing
Jay Phillips,Harpoon Munich Dark,Mercury Brewing Company
Hester Pope,Extra Stout,Boston Beer Company
Henry Rodriguez,Harpoon Brown Session Ale,Harpoon Brewery - Boston
Flora Peters,Samuel Adams Honey Porter,Boston Beer Company
Edwin Beck,Charles River Porter,John Harvard's Brew House - Framingham
Mittie Marshall,Longshot Black Lager,Boston Beer Company
Ophelia Estrada,Ipswich Winter,John Harvard's Brew House - Harvard Square
Benjamin Coleman,Heather Ale,Element Brewing Company
Clifford Sandoval,Harpoon Leviathan,Buzzards Bay Brewing Inc.
Eugenia Russell,Amber Ale,Commonwealth Brewing #1
Mary Guerrero,Ipswich IPA,Wachusetts Brewing Company
Jane Wise,Golden Ale,Paper City Brewing Company
Aiden Austin,IPA,Boston Beer Works
Cynthia Adkins,Ipswich Harvest,Mercury Brewing Company
Beatrice Brock,Graduation Ale,Element Brewing Company
Tyler Green,Special Old Ale,John Harvard's Brew House - Harvard Square
Nettie Pittman,Harpoon Winter Warmer,Mercury Brewing Company
Richard Bradley,Harpoon Ale,Brewery at Martha's Vineyard
Louis Jordan,Samuel Adams Hefeweizen,John Harvard's Brew House - Framingham
Russell Schneider,Harpoon Leviathan,Boston Beer Works
Mittie Delgado,Boltwood Bock,Boston Beer Works
Claudia Daniels,Graduation Ale,Mercury Brewing Company
Garrett Chavez,Special Old Ale,Buzzards Bay Brewing Inc.
Lydia Black,Samuel Adams Imperial White,Commonwealth Brewing #1
Estella Lawrence,Harpoon Brown Session Ale,New Century Brewing Company
Austin Soto,Raspberry Brown Ale,John Harvard's Brew House - Framingham
Ollie Ball,Samuel Adams Chocolate Bock,John Harvard's Brew House - Harvard Square
Bryan Padilla,Longshot Hazelnut Brown,Boston Beer Works
Janie Gibson,Ipswich Oatmeal Stout,Wachusetts Brewing Company
Gerald Copeland,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),John Harvard's Brew House - Harvard Square
Elijah McKinney,Hercules Stong Ale,Cape Ann Brewing
Nathaniel Hoffman,Sam Adams Light,Paper City Brewing Company
Roxie Morrison,Honey Pilsner,Commonwealth Brewing #1
Mason Barnes,Cascade IPA,Element Brewing Company
Trevor Hamilton,Ipswich IPA,Cape Ann Brewing
Ellen Marsh,UFO Raspberry Hefeweizen,Buzzards Bay Brewing Inc.
Lillian Garrett,Extra Stout,Brewery at Martha's Vineyard
Norman Abbott,Samuel Adams Hefeweizen,Mercury Brewing Company
Rose Hawkins,Boltwood Bock,New Century Brewing Company
Josephine Wells,Olde Buzzard Lager,Buzzards Bay Brewing Inc.
Michael Massey,Ipswich IPA,Buzzards Bay Brewing Inc.
Samuel Briggs,Fenway American Pale Ale,John Harvard's Brew House - Framingham
Ruth Lane,Samuel Adams Noble Pils,Harpoon Brewery - Boston
Ray Murphy,Ipswich Harvest,Cambridge Brewing
Edith Brown,Samuel Adams Chocolate Bock,John Harvard's Brew House - Harvard Square
Henrietta Carter,Samuel Adams Chocolate Bock,Buzzards Bay Brewing Inc.
Melvin Parks,Workingman's Wheat,Brewery at Martha's Vineyard
Carlos Wise,Harpoon Brown Session Ale,Cambridge Brewing
Inez Nichols,Samuel Adams Old Fezziwig Ale,Paper City Brewing Company
Nicholas Carter,Harpoon Leviathan,Brewery at Martha's Vineyard
Connor Carpenter,IPA,Mercury Brewing Company
Landon Johnson,Charles River Porter,Paper City Brewing Company
Dominic Graves,Samuel Adams Utopias MMIV,Boston Beer Works
Cora Thornton,Special Old Ale,Cambridge Brewing
Lucas Shaw,Samuel Adams Triplebock 1994,Cape Ann Brewing
Harold Bridges,Samuel Adams Utopias MMIV,Commonwealth Brewing #1
Jeff Burgess,Ipswich Dark Ale,Mercury Brewing Company
Bradley Cox,Wilmington Roggen Beer,Paper City Brewing Company
Luis Cummings,Samuel Adams Hefeweizen,John Harvard's Brew House - Harvard Square
Willie Gill,Graduation Ale,Paper City Brewing Company
Nathaniel Kelly,Samuel Adams Imperial White,Brewery at Martha's Vineyard
Troy Lynch,Fenway American Pale Ale,Paper City Brewing Company
Amelia Hudson,Patriots Pilsner,Harpoon Brewery - Boston
Dale Grant,Cascade IPA,Paper City Brewing Company
Derek Hunter,Puffers Smoked Porter,Harpoon Brewery - Boston
Winifred Cummings,Bankers Gold,Watch City Brewing
Genevieve Simpson,Samuel Adams Cream Stout,Brewery at Martha's Vineyard
Bess Torres,Samuel Adams Noble Pils,Brewery at Martha's Vineyard
Mike Vargas,Edison Light Beer,Cape Ann Brewing
Barbara Wise,Heather Ale,Buzzards Bay Brewing Inc.
Jeffrey Guerrero,Regatta Golden,Commonwealth Brewing #1
Hester Green,Samuel Adams Scotch Ale,Watch City Brewing
Myrtle Paul,Massatucky Brown,John Harvard's Brew House - Harvard Square
Wayne Doyle,Special Old Ale,Boston Beer Works
Dylan Hudson,Ipswich Dark Ale,John Harvard's Brew House - Harvard Square
Hulda Wolfe,Samuel Adams White Ale,New Century Brewing Company
Lulu Duncan,Olde Buzzard Lager,John Harvard's Brew House - Harvard Square
Jordan Neal,Samuel Adams Cherry Wheat,Cambridge Brewing
Rose Collier,Two Sisters Imperial Stout,Element Brewing Company
Julian Brooks,Fenway American Pale Ale,Boston Beer Company
Allie Mann,Half in the Bagpipe,Element Brewing Company
Mable Ortiz,Samuel Adams Blackberry Witbier,New Century Brewing Company
James Lyons,Ipswich Oatmeal Stout,Buzzards Bay Brewing Inc.
Viola Martin,Edison Light Beer,Boston Beer Works
Viola Woods,Famous Porter,Cambridge Brewing
Fannie Reeves,Samuel Adams Old Fezziwig Ale,Paper City Brewing Company
Katie Medina,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Mercury Brewing Company
Chester Ray,Harpoon Ale,Mercury Brewing Company
Richard Bowen,Ipswich Original Ale,Boston Beer Company
Franklin Carlson,Harpoon Winter Warmer,Boston Beer Company
Louis Dunn,Golden Ale,Boston Beer Works
Steve Buchanan,Harpoon Brown Session Ale,John Harvard's Brew House - Harvard Square
Isaac Soto,Buckeye Oatmeal Stout,Watch City Brewing
Ellen Davidson,Famous Porter,Paper City Brewing Company
Virginia Simon,Ipswich Nut Brown,Element Brewing Company
Joel Ruiz,Ipswich Winter,Watch City Brewing
Mabel Lawson,Raspberry Brown Ale,John Harvard's Brew House - Harvard Square
Marc Richards,Samuel Adams Brown Ale,Paper City Brewing Company
Hettie Chambers,Ipswich Porter,Cape Ann Brewing
Aaron Haynes,Framingham Maibock,John Harvard's Brew House - Framingham
Matthew Sutton,Samuel Adams Double Bock,Buzzards Bay Brewing Inc.
Lydia Gutierrez,Samuel Adams Triplebock 1995,Buzzards Bay Brewing Inc.
Mabel Gonzalez,UFO Raspberry Hefeweizen,Boston Beer Company
Dora Chavez,Samuel Adams Spring Ale,Boston Beer Works
Stephen Blake,Sam Adams Light,New Century Brewing Company
Ora Roberson,Longshot Hazelnut Brown,Buzzards Bay Brewing Inc.
Agnes Freeman,Extra Stout,Cape Ann Brewing
Winifred Nelson,Hercules Stong Ale,Watch City Brewing
Stanley Sharp,Dark Element,Wachusetts Brewing Company
Tony Murray,Samuel Adams Imperial Stout,Buzzards Bay Brewing Inc.
Maggie Allison,Wachusetts IPA,John Harvard's Brew House - Framingham
Jessie Dean,Framingham Maibock,Paper City Brewing Company
Phoebe Riley,Samuel Adams Honey Porter,New Century Brewing Company
Owen Hines,Wheaten Ale,Boston Beer Company
Anne Peterson,Samuel Adams Holiday Porter,Paper City Brewing Company
Franklin Carr,Longshot Hazelnut Brown,Watch City Brewing
Mattie Baldwin,Charles River Porter,New Century Brewing Company
Marian Bush,Samuel Adams Brown Ale,Brewery at Martha's Vineyard
Chase Ortega,Graduation Ale,Cape Ann Brewing
Lloyd Peterson,Olde Buzzard Lager,Commonwealth Brewing #1
Lelia Doyle,Samuel Adams Boston Lager,Brewery at Martha's Vineyard
Annie Sutton,Regatta Golden,Boston Beer Company
Roxie Collier,Samuel Adams Hallertau Imperial Pilsner,Cape Ann Brewing
Adelaide McBride,Ipswich Winter,New Century Brewing Company
Steve Fuller,Ipswich Original Ale,Boston Beer Works
Bernard Lucas,Golden Ale,Mercury Brewing Company
Mattie Medina,Samuel Adams Hallertau Imperial Pilsner,John Harvard's Brew House - Framingham
Ethel Payne,Ipswich Nut Brown,John Harvard's Brew House - Harvard Square
Louisa Ballard,Harpoon Munich Dark,Harpoon Brewery - Boston
Roxie Joseph,Ipswich Harvest,Cape Ann Brewing
Lois Gomez,Samuel Adams Old Fezziwig Ale,Buzzards Bay Brewing Inc.
Blake Park,Samuel Adams Black Lager,Harpoon Brewery - Boston
Daniel Simmons,Wachusetts IPA,Commonwealth Brewing #1
Katie Bates,Amber Ale,New Century Brewing Company
Janie Manning,Tall Tale Pale Ale,Watch City Brewing
Winifred Norman,Charles River Porter,John Harvard's Brew House - Framingham
Leroy Webb,Harpoon Ale,Cape Ann Brewing
Blake Turner,Ipswich Porter,Cape Ann Brewing
Genevieve Arnold,Hercules Stong Ale,New Century Brewing Company
Lois Abbott,Samuel Adams Brown Ale,Wachusetts Brewing Company
Amy Munoz,Massatucky Brown,Boston Beer Works
Connor Ward,Samuel Adams Holiday Porter,John Harvard's Brew House - Harvard Square
Anthony Douglas,Samuel Adams Utopias MMIV,Watch City Brewing
Lottie Kelley,Olde Buzzard Lager,Element Brewing Company
Miguel Patton,Classic Stout,Brewery at Martha's Vineyard
Lester Huff,Samuel Adams Cherry Wheat,John Harvard's Brew House - Harvard Square
Louise Stevenson,Samuel Adams Boston Ale,Harpoon Brewery - Boston
Celia Patton,Harpoon Leviathan,John Harvard's Brew House - Harvard Square
Daisy Bridges,Samuel Adams Old Fezziwig Ale,Boston Beer Works
Willie Jacobs,Wheaten Ale,Watch City Brewing
Mollie Tyler,Raspberry Brown Ale,Harpoon Brewery - Boston
Jeanette Boone,Samuel Adams Cherry Wheat,John Harvard's Brew House - Harvard Square
Olivia Kelly,Bankers Gold,Boston Beer Company
Dora Day,Samuel Adams Holiday Porter,Cape Ann Brewing
Keith Gordon,Heather Ale,Brewery at Martha's Vineyard
Gussie Gutierrez,Samuel Adams Irish Red,Commonwealth Brewing #1
Jeanette Nelson,Golden Ale,Paper City Brewing Company
Lillian Waters,North Pleasant Pale Ale,Buzzards Bay Brewing Inc.
Carolyn Knight,Workingman's Wheat,Buzzards Bay Brewing Inc.
Jayden Olson,Samuel Adams Triplebock 1995,John Harvard's Brew House - Framingham
Francisco Montgomery,Samuel Adams Cream Stout,John Harvard's Brew House - Framingham
Emma Freeman,Samuel Adams Hallertau Imperial Pilsner,Wachusetts Brewing Company
Alex May,Boltwood Bock,Brewery at Martha's Vineyard
Carl Roberson,IPA,Cambridge Brewing
Rosa Franklin,Heather Ale,Commonwealth Brewing #1
Francisco Willis,1084 Barleywine,Element Brewing Company
Devin Guerrero,Cambridge Amber,Cape Ann Brewing
Dennis Phillips,Ipswich Nut Brown,Brewery at Martha's Vineyard
Micheal Goodman,Fenway American Pale Ale,Buzzards Bay Brewing Inc.
Larry Vargas,Samuel Adams Irish Red,Boston Beer Works
Charlotte Lane,Lewmeister Oktoberfest,New Century Brewing Company
Stanley Sims,Puffers Smoked Porter,Buzzards Bay Brewing Inc.
Frances Valdez,Bankers Gold,Brewery at Martha's Vineyard
Lester Terry,Harpoon UFO Hefeweizen,Element Brewing Company
Isabelle Hall,Samuel Adams Double Bock,New Century Brewing Company
Effie Floyd,Wachusetts IPA,Commonwealth Brewing #1
Johanna Martin,Classic Stout,New Century Brewing Company
Adele Morrison,Ipswich Nut Brown,Cape Ann Brewing
Ernest Blair,Samuel Adams Blackberry Witbier,Paper City Brewing Company
Ronnie Wilkins,Hercules Stong Ale,Commonwealth Brewing #1
Jackson Webb,Hard Core Crisp Apple Cider,Boston Beer Company
Kevin Summers,Workingman's Wheat,Harpoon Brewery - Boston
Katharine Cortez,Samuel Adams Spring Ale,John Harvard's Brew House - Harvard Square
Adelaide Rogers,Sam Adams Light,Cambridge Brewing
Chase Jordan,Samuel Adams Chocolate Bock,Brewery at Martha's Vineyard
Corey Hayes,North Pleasant Pale Ale,Element Brewing Company
Bobby Olson,Samuel Adams Imperial White,Boston Beer Works
Jayden Sharp,Wilmington Roggen Beer,Buzzards Bay Brewing Inc.
Verna Arnold,Samuel Adams Imperial Stout,New Century Brewing Company
Sally Allison,Samuel Adams White Ale,New Century Brewing Company
Marie Scott,Samuel Adams Imperial Stout,Boston Beer Works
Ricky Rodriquez,Samuel Adams Triplebock 1994,Harpoon Brewery - Boston
Edward Goodwin,Boston Red,Brewery at Martha's Vineyard
Adeline Newman,Heather Ale,Harpoon Brewery - Boston
Harold Gutierrez,Samuel Adams Coastal Wheat,Harpoon Brewery - Boston
Ollie Mathis,Wachusetts IPA,Cape Ann Brewing
Louisa Howell,Samuel Adams Holiday Porter,Wachusetts Brewing Company
Brian McDonald,Samuel Adams Holiday Porter,Wachusetts Brewing Company
Micheal Dawson,Massatucky Brown,New Century Brewing Company
Lura Wise,Wachusetts IPA,Boston Beer Company
Jeanette Barker,Bankers Gold,Boston Beer Company
Ryan Crawford,Samuel Adams Winter Lager,Cape Ann Brewing
Nellie Alexander,Cambridge Amber,Watch City Brewing
Ophelia Fletcher,Holyoke Dam Ale,Commonwealth Brewing #1
Sophie Mullins,Ipswich Summer,Brewery at Martha's Vineyard
Amelia Diaz,Amber Ale,New Century Brewing Company
Rebecca Barnett,Half in the Bagpipe,Cambridge Brewing
Jessie Todd,Heather Ale,Element Brewing Company
Leonard Porter,Samuel Adams Winter Lager,Wachusetts Brewing Company
Marguerite Huff,Heather Ale,Cape Ann Brewing
Danny Parks,Wheaten Ale,Commonwealth Brewing #1
Clyde Fitzgerald,Olde #8 Anniversary Ale,New Century Brewing Company
Calvin Mills,Olde Buzzard Lager,Wachusetts Brewing Company
Francisco Brock,Samuel Adams Boston Lager,Paper City Brewing Company
Warren Harrison,Samuel Adams Triplebock 1994,Paper City Brewing Company
Virginia McKenzie,Ipswich Winter,Cape Ann Brewing
Brent Roberts,Samuel Adams Brown Ale,Boston Beer Company
Eleanor Maxwell,Raspberry Brown Ale,John Harvard's Brew House - Harvard Square
Leila Bates,Samuel Adams Golden Pilsner,Buzzards Bay Brewing Inc.
Frank Santos,Ipswich Oatmeal Stout,Paper City Brewing Company
Joe Curtis,Samuel Adams Utopias MMIV,Brewery at Martha's Vineyard
Ronald Conner,Regatta Golden,Watch City Brewing
Alfred Ortiz,Golden Ale,Element Brewing Company
Melvin Wise,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Brewery at Martha's Vineyard
Randy McGee,Samuel Adams Coastal Wheat,Harpoon Brewery - Boston
Shawn Nelson,Samuel Adams Winter Lager,Harpoon Brewery - Boston
Della Wise,Righteous Red,John Harvard's Brew House - Harvard Square
Delia Patrick,Samuel Adams Summer Ale,Mercury Brewing Company
Edgar Lopez,Harpoon Munich Dark,Buzzards Bay Brewing Inc.
Lucile Martinez,1084 Barleywine,Mercury Brewing Company
Lois Dean,UFO Raspberry Hefeweizen,Brewery at Martha's Vineyard
Adrian Moody,Heather Ale,Boston Beer Works
Isaiah Lyons,Olde Buzzard Lager,Cambridge Brewing
Stella Greene,Honey Pilsner,John Harvard's Brew House - Framingham
Ida Watson,Framingham Maibock,Commonwealth Brewing #1
Fannie Lambert,Boltwood Bock,John Harvard's Brew House - Harvard Square
Dylan Ellis,Samuel Adams Utopias MMIV,Brewery at Martha's Vineyard
Olivia Flowers,Harpoon Munich Dark,Cambridge Brewing
Estelle Newton,Amber Ale,Paper City Brewing Company
Delia Casey,Samuel Adams Triplebock 1995,Buzzards Bay Brewing Inc.
Elizabeth Murphy,Edison Light Beer,Brewery at Martha's Vineyard
Rodney Lambert,IPA,Element Brewing Company
Jimmy Scott,Samuel Adams Hefeweizen,New Century Brewing Company
Mittie Long,Special Old Ale,Paper City Brewing Company
Ivan Banks,Harpoon Leviathan,Cambridge Brewing
Philip Lopez,Harpoon Leviathan,Mercury Brewing Company
Birdie Sullivan,Samuel Adams Golden Pilsner,John Harvard's Brew House - Framingham
Elva Watson,Samuel Adams Blackberry Witbier,Cambridge Brewing
Essie Thomas,Bankers Gold,Brewery at Martha's Vineyard
Brian Peters,Ipswich Porter,Commonwealth Brewing #1
Kate Little,Cascade IPA,New Century Brewing Company
Barry Hammond,Honey Pilsner,John Harvard's Brew House - Framingham
Louisa Valdez,Hercules Stong Ale,Element Brewing Company
Luke Fleming,Extra Stout,Brewery at Martha's Vineyard
Sophia King,Edison Light Beer,Brewery at Martha's Vineyard
Emily Mills,Workingman's Wheat,Boston Beer Company
Mittie Holland,Samuel Adams White Ale,Cambridge Brewing
Alma Love,Samuel Adams Summer Ale,John Harvard's Brew House - Harvard Square
Iva McBride,Graduation Ale,Harpoon Brewery - Boston
Janie Pope,Honey Pilsner,Boston Beer Company
Lewis Harrington,Samuel Adams Pale Ale,New Century Brewing Company
John Fox,Ipswich Porter,John Harvard's Brew House - Framingham
Josephine Frank,Samuel Adams Summer Ale,Watch City Brewing
Devin Malone,Dark Element,Wachusetts Brewing Company
Paul Christensen,Ipswich IPA,Element Brewing Company
Charlotte Flowers,Half in the Bagpipe,Element Brewing Company
Mittie Walters,IPA,Brewery at Martha's Vineyard
Chester Robertson,Samuel Adams Boston Lager,Harpoon Brewery - Boston
Alfred Vaughn,Classic Stout,Element Brewing Company
Susan Pittman,Samuel Adams Honey Porter,Wachusetts Brewing Company
Jane Weber,IPA,John Harvard's Brew House - Framingham
Carl Foster,Ipswich Oatmeal Stout,John Harvard's Brew House - Framingham
Joe Hawkins,Samuel Adams Boston Lager,Watch City Brewing
Elmer Cortez,Two Sisters Imperial Stout,Cape Ann Brewing
Jeremy Ramsey,Famous Porter,Watch City Brewing
Willie Bryan,Righteous Red,Wachusetts Brewing Company
Genevieve Daniels,Graduation Ale,Buzzards Bay Brewing Inc.
Julia Abbott,Cascade IPA,Commonwealth Brewing #1
Jeffery Erickson,Longshot American Pale Ale,Commonwealth Brewing #1
Christopher Moody,Samuel Adams Pale Ale,Watch City Brewing
Rhoda Ryan,Buckeye Oatmeal Stout,Boston Beer Works
Lola Richardson,Regatta Golden,Harpoon Brewery - Boston
Milton Curry,Regatta Golden,Boston Beer Company
Ida Steele,Samuel Adams Cherry Wheat,Cambridge Brewing
Carrie Hansen,Ipswich Porter,Boston Beer Company
Genevieve Bowers,Samuel Adams Pale Ale,Paper City Brewing Company
Estelle Freeman,Samuel Adams Old Fezziwig Ale,Wachusetts Brewing Company
Rosa Tyler,Samuel Adams Scotch Ale,John Harvard's Brew House - Harvard Square
Glen Lambert,Samuel Adams Coastal Wheat,Cambridge Brewing
Rosie Schwartz,Ipswich Harvest,Cambridge Brewing
Roy Peterson,Boston Red,Buzzards Bay Brewing Inc.
Alma Salazar,Extra Stout,Buzzards Bay Brewing Inc.
Cora Sanders,Samuel Adams Boston Lager,Cape Ann Brewing
Lee Wallace,Tall Tale Pale Ale,Brewery at Martha's Vineyard
Jeffery Swanson,Puffers Smoked Porter,John Harvard's Brew House - Harvard Square
Aaron Palmer,Samuel Adams Boston Ale,Brewery at Martha's Vineyard
Gerald Summers,Harpoon Winter Warmer,Harpoon Brewery - Boston
Derrick Barnes,Samuel Adams Brown Ale,Paper City Brewing Company
Alta Daniel,Holyoke Dam Ale,Paper City Brewing Company
Nathan Morales,Samuel Adams Winter Lager,Boston Beer Company
Marvin Wood,Ipswich Original Ale,Cape Ann Brewing
Marguerite Boyd,Buckeye Oatmeal Stout,Cape Ann Brewing
Sophia Harvey,Longshot Hazelnut Brown,Cambridge Brewing
Frances Hamilton,Extra Stout,Commonwealth Brewing #1
Ida Sutton,Massatucky Brown,Cambridge Brewing
Bradley Henderson,Golden Ale,Element Brewing Company
Marguerite French,Workingman's Wheat,Buzzards Bay Brewing Inc.
Jackson Riley,Harpoon Ale,Mercury Brewing Company
Josie Nelson,Samuel Adams Noble Pils,Watch City Brewing
Keith Vasquez,Samuel Adams Noble Pils,Element Brewing Company
Aiden Evans,Samuel Adams Cherry Wheat,Boston Beer Company
Olivia Patton,Samuel Adams Summer Ale,Element Brewing Company
Jayden Colon,Harpoon Leviathan,Brewery at Martha's Vineyard
Linnie Newman,Longshot American Pale Ale,Boston Beer Company
Timothy Mason,Samuel Adams Imperial White,Cambridge Brewing
Keith Paul,Extra Stout,Boston Beer Company
Augusta Wise,Olde Buzzard Lager,Element Brewing Company
Leonard Richards,Harpoon UFO Hefeweizen,Boston Beer Company
Ida Armstrong,Cambridge Amber,Cape Ann Brewing
Etta Swanson,Olde #8 Anniversary Ale,Harpoon Brewery - Boston
Theodore Hall,Green Monsta Ale,Cambridge Brewing
Ollie Townsend,Green Monsta Ale,Wachusetts Brewing Company
Grace Hodges,Harpoon UFO Hefeweizen,Buzzards Bay Brewing Inc.
Jeff Nunez,Lewmeister Oktoberfest,Harpoon Brewery - Boston
Clarence Perez,Harpoon Leviathan,Element Brewing Company
Bess Rios,Samuel Adams Winter Lager,Harpoon Brewery - Boston
Fanny Franklin,Boston Red,Boston Beer Works
Mathilda Simmons,Heather Ale,Cambridge Brewing
Estelle Brown,Samuel Adams Triplebock 1995,Paper City Brewing Company
Claudia Norman,Harpoon Winter Warmer,Paper City Brewing Company
Mae Rhodes,UFO Raspberry Hefeweizen,Mercury Brewing Company
Georgia Martinez,Olde Buzzard Lager,Boston Beer Company
Albert Baldwin,UFO Raspberry Hefeweizen,Harpoon Brewery - Boston
Sara Bass,Hercules Stong Ale,Cape Ann Brewing
Joshua Ortega,Ipswich Original Ale,Mercury Brewing Company
Andre Malone,Special Old Ale,Commonwealth Brewing #1
Maria Ellis,Charles River Porter,Buzzards Bay Brewing Inc.
Fanny Norris,Ipswich Original Ale,Boston Beer Works
Eunice Wheeler,Hard Core Crisp Apple Cider,Buzzards Bay Brewing Inc.
Emma McLaughlin,Workingman's Wheat,Boston Beer Company
Adelaide Cox,Ipswich Porter,Mercury Brewing Company
Leona Nguyen,Samuel Adams Utopias MMIV,Watch City Brewing
Adele McBride,Samuel Adams Old Fezziwig Ale,Harpoon Brewery - Boston
Stanley McCoy,Samuel Adams OctoberFest,Mercury Brewing Company
Lydia Guzman,Wheaten Ale,Commonwealth Brewing #1
Bradley Santos,Workingman's Wheat,Harpoon Brewery - Boston
Lola Phillips,Samuel Adams Summer Ale,Commonwealth Brewing #1
Maggie Thornton,Harpoon Celtic Ale,Harpoon Brewery - Boston
Lucille Vargas,Dark Element,Watch City Brewing
Irene Walton,Samuel Adams Utopias MMIV,Brewery at Martha's Vineyard
Viola Joseph,Puffers Smoked Porter,Cambridge Brewing
Bill Hunter,Samuel Adams Scotch Ale,Harpoon Brewery - Boston
John Hill,Two Sisters Imperial Stout,Cambridge Brewing
Ryan Hart,Framingham Maibock,Element Brewing Company
Sam Ferguson,Harpoon Munich Dark,Watch City Brewing
Amy Wilkerson,Graduation Ale,Element Brewing Company
Ethel Carpenter,Longshot Hazelnut Brown,Buzzards Bay Brewing Inc.
Nathaniel Miles,Massatucky Brown,Buzzards Bay Brewing Inc.
Bessie Phillips,Samuel Adams Old Fezziwig Ale,John Harvard's Brew House - Harvard Square
Lydia McLaughlin,Samuel Adams Blackberry Witbier,Element Brewing Company
Antonio Norris,Hops Explosion IPA,Harpoon Brewery - Boston
Jayden Bishop,Samuel Adams Imperial White,Buzzards Bay Brewing Inc.
Sally Grant,Honey Pilsner,Paper City Brewing Company
Lawrence Ward,Samuel Adams Spring Ale,John Harvard's Brew House - Framingham
Cynthia Roberts,Tall Tale Pale Ale,Harpoon Brewery - Boston
Alta Wolfe,UFO Raspberry Hefeweizen,Cambridge Brewing
Philip Chavez,Samuel Adams White Ale,Mercury Brewing Company
Harold Cole,Extra Stout,Watch City Brewing
Jose Henry,Amber Ale,Commonwealth Brewing #1
Isabel Wood,Wachusetts IPA,Wachusetts Brewing Company
Allie Peters,Harpoon Leviathan,Boston Beer Company
Maurice Parker,Samuel Adams Scotch Ale,Cambridge Brewing
Lucinda Berry,Samuel Adams Triplebock 1995,Paper City Brewing Company
Inez Manning,Samuel Adams Boston Lager,Commonwealth Brewing #1
Isaiah Gonzalez,Regatta Golden,John Harvard's Brew House - Harvard Square
Chase Cohen,Harpoon Munich Dark,Mercury Brewing Company
Gerald Jones,Two Sisters Imperial Stout,John Harvard's Brew House - Harvard Square
Bertie Haynes,Olde #8 Anniversary Ale,Cambridge Brewing
Jimmy Gardner,Famous Porter,Mercury Brewing Company
Nathaniel Blair,Longshot American Pale Ale,Mercury Brewing Company
Patrick Swanson,IPA,New Century Brewing Company
Sadie Yates,Ipswich IPA,Buzzards Bay Brewing Inc.
Lois Hamilton,Sam Adams Light,Buzzards Bay Brewing Inc.
Eunice Frazier,Holyoke Dam Ale,Buzzards Bay Brewing Inc.
Curtis Richardson,Samuel Adams Cranberry Lambic,Cambridge Brewing
Mike Graves,UFO Raspberry Hefeweizen,Paper City Brewing Company
Jimmy Santos,Samuel Adams Imperial White,Buzzards Bay Brewing Inc.
Amelia Harrison,Green Monsta Ale,Cambridge Brewing
Christine Fernandez,Harpoon UFO Hefeweizen,Cambridge Brewing
Eula Griffith,Samuel Adams Boston Ale,Commonwealth Brewing #1
Cordelia Blake,Kenmore K̦lsch,Element Brewing Company
Patrick Guerrero,Harpoon Brown Session Ale,Paper City Brewing Company
Don Schwartz,Hercules Stong Ale,New Century Brewing Company
Josephine Hardy,Dark Element,Mercury Brewing Company
Matthew Carpenter,Olde Buzzard Lager,Buzzards Bay Brewing Inc.
Jeff Obrien,Sam Adams Light,Boston Beer Company
Thomas Snyder,Cascade IPA,Paper City Brewing Company
Lettie Rogers,Samuel Adams Boston Ale,Mercury Brewing Company
Rebecca Collier,Samuel Adams Coastal Wheat,Harpoon Brewery - Boston
Theodore Stevens,Harpoon UFO Hefeweizen,Element Brewing Company
Stanley Beck,Ipswich Winter,Element Brewing Company
Elizabeth Curry,Heather Ale,Cambridge Brewing
Don Logan,Hercules Stong Ale,Element Brewing Company
Gabriel Lynch,Ipswich Porter,Boston Beer Works
Emma Dunn,Famous Porter,Boston Beer Company
Clara Nash,Extra Stout,New Century Brewing Company
Stephen Bradley,Harpoon Winter Warmer,Watch City Brewing
